"Symbol: ESH22",,,,,,"Study: VOL",
"Date Time","Open","High","Low","Close","Change","Volume","Open Interest"
2022-02-09 07:14:00,4555.5,4556,4555.25,4555.75,0,365,
2022-02-09 07:15:00,4555.5,4556.75,4555,4556.5,0.75,426,
2022-02-09 07:16:00,4556.5,4556.5,4556,4556,-0.5,435,
2022-02-09 07:17:00,4556,4556.75,4555.75,4556.25,0.25,412,
2022-02-09 07:18:00,4556.25,4557,4555.5,4555.75,-0.5,799,
2022-02-09 07:19:00,4555.75,4556.25,4555.25,4555.25,-0.5,415,
2022-02-09 07:20:00,4555.25,4556.25,4555,4556,0.75,633,
2022-02-09 07:21:00,4555.75,4556.75,4555.75,4556.5,0.5,517,
2022-02-09 07:22:00,4556.5,4557,4556.25,4556.25,-0.25,345,
2022-02-09 07:23:00,4556.5,4556.5,4555.5,4555.75,-0.5,442,
2022-02-09 07:24:00,4555.75,4555.75,4554.25,4555,-0.75,881,
2022-02-09 07:25:00,4555,4555.25,4554.25,4555,0,331,
2022-02-09 07:26:00,4555,4555.5,4554.75,4555.5,0.5,237,
2022-02-09 07:27:00,4555.5,4555.75,4555,4555.25,-0.25,251,
2022-02-09 07:28:00,4555,4555.5,4554.75,4555.5,0.25,297,
2022-02-09 07:29:00,4555.5,4555.75,4555,4555,-0.5,318,
2022-02-09 07:30:00,4554.75,4555.25,4554.25,4554.25,-0.75,298,
2022-02-09 07:31:00,4554.5,4555,4554.25,4554.5,0.25,480,
2022-02-09 07:32:00,4554.25,4554.75,4553.5,4554.25,-0.25,580,
2022-02-09 07:33:00,4554.25,4554.75,4553.25,4554.25,0,824,
2022-02-09 07:34:00,4554,4555.25,4554,4554.75,0.5,559,
2022-02-09 07:35:00,4554.75,4555.25,4554.5,4555,0.25,311,
2022-02-09 07:36:00,4555,4555,4553.75,4554,-1,295,
2022-02-09 07:37:00,4554,4554.5,4553.5,4554.25,0.25,224,
2022-02-09 07:38:00,4554.25,4554.5,4554,4554.25,0,256,
2022-02-09 07:39:00,4554.25,4554.25,4553,4553,-1.25,452,
2022-02-09 07:40:00,4553,4553.75,4552.75,4553.75,0.75,459,
2022-02-09 07:41:00,4553.75,4554,4553.5,4554,0.25,299,
2022-02-09 07:42:00,4554,4555.25,4553.75,4555.25,1.25,470,
2022-02-09 07:43:00,4555.25,4555.75,4554.75,4555,-0.25,658,
2022-02-09 07:44:00,4555,4555.25,4554.25,4555.25,0.25,469,
2022-02-09 07:45:00,4555,4556,4555,4556,0.75,625,
2022-02-09 07:46:00,4556,4556,4555,4555.25,-0.75,266,
2022-02-09 07:47:00,4555.25,4555.25,4554,4554.75,-0.5,525,
2022-02-09 07:48:00,4554.75,4555.25,4554.5,4554.75,0,227,
