DIA US Equity,,
Dates,Close,Volume
#NAME?,348.08,133659
12/1/21 9:31,347.67,49476
12/1/21 9:32,347.4,31289
12/1/21 9:33,347.45,30886
12/1/21 9:34,347.27,27289
12/1/21 9:35,347.37,41997
12/1/21 9:36,347.28,30438
12/1/21 9:37,347.48,26000
12/1/21 9:38,347.38,12457
12/1/21 9:39,347.46,8468
12/1/21 9:40,347.72,15986
12/1/21 9:41,347.84,12644
12/1/21 9:42,347.91,9200
12/1/21 9:43,347.9,6288
12/1/21 9:44,347.79,12240
12/1/21 9:45,348.02,37358
12/1/21 9:46,347.81,13199
12/1/21 9:47,347.78,9023
12/1/21 9:48,347.59,14153
12/1/21 9:49,347.39,20352
12/1/21 9:50,347.2,15595
12/1/21 9:51,347.41,18672
12/1/21 9:52,347.39,17501
12/1/21 9:53,347.61,12914
12/1/21 9:54,347.51,7779
12/1/21 9:55,347.64,8614
12/1/21 9:56,347.65,10790
12/1/21 9:57,347.89,7391
12/1/21 9:58,347.92,13346
12/1/21 9:59,347.96,8254
12/1/21 10:00,348.24,23958
12/1/21 10:01,348.55,16162
12/1/21 10:02,348.78,64051
12/1/21 10:03,348.49,17487
12/1/21 10:04,348.4,17732
12/1/21 10:05,348.59,13100
12/1/21 10:06,348.335,13612
12/1/21 10:07,348.45,10909
12/1/21 10:08,348.688,7106
12/1/21 10:09,348.85,12576
12/1/21 10:10,348.98,12557
12/1/21 10:11,349.01,16788
12/1/21 10:12,348.971,3787
12/1/21 10:13,348.87,21612
12/1/21 10:14,349,8558
12/1/21 10:15,349.11,11687
12/1/21 10:16,349.13,13294
12/1/21 10:17,349.09,6359
12/1/21 10:18,349.23,6429
12/1/21 10:19,349.25,6832
12/1/21 10:20,349.32,5548
12/1/21 10:21,349.13,9260
12/1/21 10:22,349.06,9700
12/1/21 10:23,349.25,9216
12/1/21 10:24,349.16,4100
12/1/21 10:25,349.03,34009
12/1/21 10:26,348.909,6834
12/1/21 10:27,349.04,7399
12/1/21 10:28,349.05,8775
12/1/21 10:29,348.82,6939
12/1/21 10:30,348.91,9386
12/1/21 10:31,349.11,11773
12/1/21 10:32,349.01,12286
12/1/21 10:33,348.96,9417
12/1/21 10:34,348.81,13044
12/1/21 10:35,348.785,10778
12/1/21 10:36,348.89,7479
12/1/21 10:37,348.85,11477
12/1/21 10:38,348.71,9847
12/1/21 10:39,348.44,14432
12/1/21 10:40,348.21,46290
12/1/21 10:41,348.55,11338
12/1/21 10:42,348.61,9334
12/1/21 10:43,348.96,15111
12/1/21 10:44,348.88,14522
12/1/21 10:45,349.021,12691
12/1/21 10:46,349.25,9612
12/1/21 10:47,349.3,7498
12/1/21 10:48,349.14,6542
12/1/21 10:49,349.19,11574
12/1/21 10:50,349.06,4037
12/1/21 10:51,349.07,6700
12/1/21 10:52,349.2,13500
12/1/21 10:53,349.26,23011
12/1/21 10:54,349.41,12519
12/1/21 10:55,349.31,32060
12/1/21 10:56,349.39,10847
12/1/21 10:57,349.58,12037
12/1/21 10:58,349.54,8053
12/1/21 10:59,349.53,11295
12/1/21 11:00,349.48,16307
12/1/21 11:01,349.59,6033
12/1/21 11:02,349.57,4748
12/1/21 11:03,349.43,8778
12/1/21 11:04,349.408,8826
12/1/21 11:05,349.55,10422
12/1/21 11:06,349.621,9043
12/1/21 11:07,349.577,3674
12/1/21 11:08,349.69,11861
12/1/21 11:09,349.652,3984
12/1/21 11:10,349.93,10706
12/1/21 11:11,349.9,20986
12/1/21 11:12,349.86,12576
12/1/21 11:13,350,3100
12/1/21 11:14,350.16,7081
12/1/21 11:15,349.99,8533
12/1/21 11:16,350.08,5882
12/1/21 11:17,350.25,6973
12/1/21 11:18,350.28,4489
12/1/21 11:19,350.23,9300
12/1/21 11:20,350.15,2342
12/1/21 11:21,350.13,9303
12/1/21 11:22,350.12,1902
12/1/21 11:23,350.12,4502
12/1/21 11:24,350.21,4023
12/1/21 11:25,350.28,3865
12/1/21 11:26,350.102,3129
12/1/21 11:27,349.96,3400
12/1/21 11:28,350.06,11531
12/1/21 11:29,350.06,10144
12/1/21 11:30,349.8,14186
12/1/21 11:31,349.82,4269
12/1/21 11:32,349.94,4015
12/1/21 11:33,350,1796
12/1/21 11:34,349.94,24388
12/1/21 11:35,349.8,2949
12/1/21 11:36,349.78,11972
12/1/21 11:37,349.78,7195
12/1/21 11:38,349.72,12525
12/1/21 11:39,349.71,16299
12/1/21 11:40,349.63,7824
12/1/21 11:41,349.685,3269
12/1/21 11:42,349.63,2153
12/1/21 11:43,349.58,2384
12/1/21 11:44,349.51,4079
12/1/21 11:45,349.2,28602
12/1/21 11:46,349.2,2921
12/1/21 11:47,349.06,3834
12/1/21 11:48,349.15,3800
12/1/21 11:49,349.18,17989
12/1/21 11:50,349.08,18573
12/1/21 11:51,349.09,8562
12/1/21 11:52,349.1,2739
12/1/21 11:53,349.09,3871
12/1/21 11:54,348.88,10108
12/1/21 11:55,348.88,18428
12/1/21 11:56,348.85,3896
12/1/21 11:57,348.63,12253
12/1/21 11:58,348.52,13642
12/1/21 11:59,348.71,15882
12/1/21 12:00,348.6,8059
12/1/21 12:01,348.57,5876
12/1/21 12:02,348.91,8076
12/1/21 12:03,348.98,5515
12/1/21 12:04,349.03,1113
12/1/21 12:05,349.111,7899
12/1/21 12:06,349.22,3550
12/1/21 12:07,348.996,4798
12/1/21 12:08,348.8,6299
12/1/21 12:09,348.91,6288
12/1/21 12:10,348.99,8520
