Date,Price,Open,High,Low,Vol.,Change %,deltas
3/10/22,"4,259.52","4,252.55","4,268.28","4,209.80",-,-0.43%,-6.97
3/9/22,"4,277.88","4,223.10","4,299.40","4,223.10",-,2.57%,-54.78
3/8/22,"4,170.62","4,202.66","4,276.94","4,157.87",-,-0.73%,32.04
3/7/22,"4,201.09","4,327.01","4,327.01","4,199.85",-,-2.95%,125.92
3/4/22,"4,328.87","4,342.12","4,342.12","4,284.98",-,-0.79%,13.25
3/3/22,"4,363.49","4,401.31","4,416.78","4,350.37",-,-0.53%,37.82
3/2/22,"4,386.54","4,322.56","4,401.48","4,322.56",-,1.86%,-63.98
3/1/22,"4,306.26","4,363.14","4,378.45","4,279.54",-,-1.54%,56.88
2/28/22,"4,373.79","4,354.17","4,388.84","4,315.12",-,-0.25%,-19.62
2/25/22,"4,384.62","4,298.38","4,385.34","4,286.83",-,2.24%,-86.24
2/24/22,"4,288.70","4,155.77","4,294.73","4,114.65",-,1.50%,-132.93
2/23/22,"4,225.50","4,324.93","4,341.51","4,221.51",-,-1.84%,99.43
2/22/22,"4,304.74","4,332.74","4,362.12","4,267.11",-,-1.01%,28.00
2/18/22,"4,348.87","4,384.57","4,394.60","4,327.22",-,-0.72%,35.70
2/17/22,"4,380.26","4,456.06","4,456.06","4,373.81",-,-2.12%,75.80
2/16/22,"4,475.01","4,455.75","4,489.55","4,429.68",-,0.09%,-19.26
2/15/22,"4,471.07","4,429.28","4,472.77","4,429.28",-,1.58%,-41.79
2/14/22,"4,401.67","4,412.61","4,426.22","4,364.84",-,-0.38%,10.94
2/11/22,"4,418.64","4,506.27","4,526.33","4,401.41",-,-1.90%,87.63
2/10/22,"4,504.06","4,553.24","4,588.92","4,484.31",-,-1.81%,49.18
2/9/22,"4,587.18","4,547.00","4,590.03","4,547.00",-,1.45%,-40.18
2/8/22,"4,521.54","4,480.02","4,531.32","4,465.40",-,0.84%,-41.52
2/7/22,"4,483.87","4,505.75","4,521.86","4,471.47",-,-0.37%,21.88
2/4/22,"4,500.54","4,482.79","4,539.66","4,451.50",-,0.52%,-17.75
2/3/22,"4,477.44","4,535.41","4,542.88","4,470.39",-,-2.44%,57.97
2/2/22,"4,589.32","4,566.39","4,595.31","4,544.32",-,0.94%,-22.93
2/1/22,"4,546.54","4,519.57","4,550.49","4,483.53",-,0.69%,-26.97
1/31/22,"4,515.55","4,431.79","4,516.89","4,414.02",-,1.89%,-83.76
1/28/22,"4,431.85","4,336.19","4,432.72","4,292.46",-,2.43%,-95.66
1/27/22,"4,326.50","4,380.58","4,428.74","4,309.50",-,-0.54%,54.08
1/26/22,"4,349.93","4,408.43","4,453.23","4,304.80",-,-0.15%,58.50
1/25/22,"4,356.45","4,366.64","4,411.01","4,287.11",-,-1.22%,10.19
1/24/22,"4,410.13","4,356.32","4,417.35","4,222.62",-,0.28%,-53.81
1/21/22,"4,397.93","4,471.38","4,494.52","4,395.34",-,-1.89%,73.45
1/20/22,"4,482.73","4,547.35","4,602.11","4,477.95",-,-1.10%,64.62
1/19/22,"4,532.76","4,588.03","4,611.55","4,530.20",-,-0.97%,55.27
1/18/22,"4,577.34","4,632.24","4,632.24","4,568.70",-,-1.83%,54.90
1/14/22,"4,662.85","4,637.99","4,665.13","4,614.75",-,0.08%,-24.86
1/13/22,"4,659.02","4,733.56","4,744.13","4,650.29",-,-1.42%,74.54
1/12/22,"4,726.35","4,728.59","4,748.83","4,706.71",-,0.28%,2.24
1/11/22,"4,713.07","4,669.14","4,714.13","4,638.27",-,0.92%,-43.93
1/10/22,"4,670.29","4,655.34","4,673.02","4,582.24",-,-0.14%,-14.95
1/7/22,"4,677.02","4,697.66","4,707.95","4,662.74",-,-0.41%,20.64
1/6/22,"4,696.05","4,693.39","4,725.01","4,671.26",-,-0.10%,-2.66
1/5/22,"4,700.58","4,787.99","4,797.70","4,699.44",-,-1.94%,87.41
1/4/22,"4,793.54","4,804.51","4,818.62","4,774.27",-,-0.06%,10.97
1/3/22,"4,796.56","4,778.14","4,796.64","4,758.17",-,0.64%,-18.42
12/31/21,"4,766.18","4,775.21","4,786.83","4,765.75",-,-0.26%,9.03
12/30/21,"4,778.73","4,794.23","4,808.93","4,775.33",-,-0.30%,15.50
12/29/21,"4,793.06","4,788.64","4,804.06","4,778.08",-,0.14%,-4.42
12/28/21,"4,786.36","4,795.49","4,807.02","4,780.04",-,-0.10%,9.13
12/27/21,"4,791.19","4,733.99","4,791.49","4,733.99",-,1.38%,-57.20
12/23/21,"4,725.78","4,703.96","4,740.74","4,703.96",-,0.62%,-21.82
12/22/21,"4,696.56","4,650.36","4,697.67","4,645.53",-,1.02%,-46.20
12/21/21,"4,649.23","4,594.96","4,651.14","4,583.16",-,1.78%,-54.27
12/20/21,"4,568.02","4,587.90","4,587.90","4,531.10",-,-1.14%,19.88
12/17/21,"4,620.64","4,652.50","4,666.70","4,600.22",-,-1.03%,31.86
12/16/21,"4,668.67","4,719.13","4,731.99","4,651.89",-,-0.87%,50.46
12/15/21,"4,709.84","4,636.46","4,712.60","4,611.22",-,1.63%,-73.38
12/14/21,"4,634.09","4,642.99","4,660.47","4,606.52",-,-0.75%,8.90
12/13/21,"4,669.15","4,710.30","4,710.30","4,667.60",-,-0.91%,41.15
12/10/21,"4,712.02","4,687.64","4,713.57","4,670.24",-,0.95%,-24.38
12/9/21,"4,667.45","4,691.00","4,695.26","4,665.98",-,-0.72%,23.55
12/8/21,"4,701.21","4,690.86","4,705.06","4,674.52",-,0.31%,-10.35
12/7/21,"4,686.75","4,631.97","4,694.04","4,631.97",-,2.07%,-54.78
12/6/21,"4,591.67","4,548.37","4,612.60","4,540.51",-,1.17%,-43.30
12/3/21,"4,538.43","4,589.49","4,608.03","4,495.12",-,-0.84%,51.06
12/2/21,"4,577.10","4,504.73","4,595.46","4,504.73",-,1.42%,-72.37
12/1/21,"4,513.04","4,602.82","4,652.94","4,510.27",-,-1.18%,89.78
