SPY US Equity,,
Dates,Close,Volume
#NAME?,461.27,818361
12/1/21 9:31,460.81,348832
12/1/21 9:32,460.69,331253
12/1/21 9:33,460.76,271748
12/1/21 9:34,460.29,255663
12/1/21 9:35,460.49,287824
12/1/21 9:36,460.53,247480
12/1/21 9:37,460.63,178755
12/1/21 9:38,460.57,235893
12/1/21 9:39,460.45,167715
12/1/21 9:40,460.76,234959
12/1/21 9:41,460.95,131169
12/1/21 9:42,460.95,211829
12/1/21 9:43,460.94,178063
12/1/21 9:44,460.94,196378
12/1/21 9:45,461.44,339446
12/1/21 9:46,461.42,175385
12/1/21 9:47,461.263,183982
12/1/21 9:48,461.15,236008
12/1/21 9:49,460.8,132620
12/1/21 9:50,460.78,169033
12/1/21 9:51,460.98,142549
12/1/21 9:52,460.9,163634
12/1/21 9:53,461.19,129228
12/1/21 9:54,460.94,140084
12/1/21 9:55,461.16,122059
12/1/21 9:56,461.08,89449
12/1/21 9:57,461.355,259712
12/1/21 9:58,461.55,146614
12/1/21 9:59,461.56,133489
12/1/21 10:00,461.91,313481
12/1/21 10:01,462.294,241238
12/1/21 10:02,462.57,368031
12/1/21 10:03,462.34,251769
12/1/21 10:04,462.23,175209
12/1/21 10:05,462.43,178382
12/1/21 10:06,462.23,221802
12/1/21 10:07,462.46,176401
12/1/21 10:08,462.72,196251
12/1/21 10:09,462.86,198100
12/1/21 10:10,462.92,256674
12/1/21 10:11,462.85,229228
12/1/21 10:12,462.81,182288
12/1/21 10:13,462.57,223202
12/1/21 10:14,462.73,121311
12/1/21 10:15,462.83,145265
12/1/21 10:16,462.84,213037
12/1/21 10:17,462.91,164727
12/1/21 10:18,463.05,252256
12/1/21 10:19,463.03,137713
12/1/21 10:20,463.06,138408
12/1/21 10:21,462.68,141773
12/1/21 10:22,462.565,187570
12/1/21 10:23,462.82,187095
12/1/21 10:24,462.76,140099
12/1/21 10:25,462.855,104210
12/1/21 10:26,462.8,79423
12/1/21 10:27,462.77,84361
12/1/21 10:28,462.7,101785
12/1/21 10:29,462.38,182492
12/1/21 10:30,462.45,165457
12/1/21 10:31,462.775,196477
12/1/21 10:32,462.59,129723
12/1/21 10:33,462.63,89436
12/1/21 10:34,462.41,197112
12/1/21 10:35,462.39,138447
12/1/21 10:36,462.52,149938
12/1/21 10:37,462.3,149746
12/1/21 10:38,462.25,139455
12/1/21 10:39,461.81,170745
12/1/21 10:40,461.52,394588
12/1/21 10:41,462.06,198125
12/1/21 10:42,462.13,169094
12/1/21 10:43,462.52,176500
12/1/21 10:44,462.42,121675
12/1/21 10:45,462.48,91265
12/1/21 10:46,462.87,161630
12/1/21 10:47,463.04,142634
12/1/21 10:48,462.93,102401
12/1/21 10:49,463.02,100278
12/1/21 10:50,462.9,235777
12/1/21 10:51,463,84347
12/1/21 10:52,463.26,241210
12/1/21 10:53,463.2,149553
12/1/21 10:54,463.29,138967
12/1/21 10:55,463.19,188546
