,df,mu,sigma
2021-12-01,6.0200632499990885,-5.012050056172353e-05,0.00044501178543137905
2021-12-02,5.926677351598327,3.280340054731335e-05,0.0005315847790983862
2021-12-03,5.9884450087462735,-2.2885292510609042e-05,0.0005831870342328958
2021-12-06,5.940077945081049,2.204202514843915e-05,0.0003433427817908949
2021-12-07,5.950182833364121,1.3250022338786267e-05,0.0001856224881969678
2021-12-08,5.948170745521681,1.5024497237452685e-05,0.00019532009106237934
2021-12-09,5.968690468411143,-3.335654577158715e-06,0.0002343230594988369
2021-12-10,5.957266233272426,6.807285078123862e-06,0.0002397517293437009
2021-12-13,5.982145160467384,-1.549163869777464e-05,0.00024634217106732386
2021-12-14,5.987902754052025,-2.0450865942899156e-05,0.0002866837315589492
2021-12-15,5.9356166338168865,2.6012002120211227e-05,0.00033380090771118116
2021-12-16,6.008997083921404,-4.076194497718737e-05,0.0003641461618816696
2021-12-17,5.980460618963598,-1.5437024614179552e-05,0.00045637404277643637
2021-12-20,5.962458648527495,2.047841676502903e-06,0.0003736765046316963
2021-12-21,5.930024303477831,3.1009741287361546e-05,0.0002510316076012192
2021-12-22,5.9341462798129285,2.7052708464236784e-05,0.00020095945897978626
2021-12-23,5.953055596250454,1.0702467963936482e-05,0.00013313126212271046
2021-12-27,5.939168340826699,2.307343760112442e-05,0.0001344074125028754
2021-12-28,5.960832889923334,3.7613035767230893e-06,0.00021344144259512372
2021-12-29,5.959912090353866,4.659722672246161e-06,0.00014611372103572973
2021-12-30,5.973239257706531,-7.192554758137916e-06,0.00013261725608358332
2021-12-31,5.964324168498644,6.741245441614113e-07,0.00017918913875511255
2022-01-03,5.949728202782547,1.351843759979022e-05,0.0002292990584188279
2022-01-04,5.9694574611659075,-4.021910943221875e-06,0.00023120836316798456
2022-01-05,6.008820310403294,-4.061715008984856e-05,0.0002895850898304089
2022-01-06,5.966189943440451,-1.2594187075093482e-06,0.0003901324948861559
2022-01-07,5.972961884812317,-7.193386676014811e-06,0.000303120278418998
2022-01-10,5.954323794578907,9.286638840747303e-06,0.0004139510379381838
2022-01-11,5.935221285363198,2.635603934881347e-05,0.00034380019915290284
2022-01-12,5.957296916756258,6.739242513934501e-06,0.0003187911901573142
2022-01-13,6.005095863849741,-3.72745437291619e-05,0.00034414845451561206
2022-01-14,5.941573800158322,2.0658014621364027e-05,0.00042744325828379166
2022-01-18,5.98802445000147,-2.2184461737926522e-05,0.0003964288218232698
2022-01-19,6.0056755982643635,-3.7816837061509034e-05,0.00036977634154256137
2022-01-20,6.0012938837584535,-3.3984614242239014e-05,0.00039609016891595965
2022-01-21,6.026227663604633,-5.540435429848661e-05,0.0006748343407040366
2022-01-24,5.890428263643506,6.446833156082757e-05,0.0010409161816300957
2022-01-25,5.934130103665641,2.6426699019446392e-05,0.0007236824517769132
2022-01-26,6.004270747546758,-3.657460375190289e-05,0.0008330654848423113
2022-01-27,5.998633191626093,-3.118535255093107e-05,0.0007316085331133524
2022-01-28,5.9080600477047565,4.9247823882638054e-05,0.0006352471469825735
2022-01-31,5.927300711765314,3.24802110176225e-05,0.00036415986339659637
2022-02-01,5.924940247667726,3.5491192482320585e-05,0.0004128838108488819
2022-02-02,5.938511182161637,2.3420537021920086e-05,0.00038926871473107246
2022-02-03,5.998896141562189,-3.180713370482326e-05,0.0003799133670743857
2022-02-04,5.954510421925484,9.094900548124094e-06,0.00044393574989748245
2022-02-07,5.964315974862763,3.6505260789613474e-07,0.0003573845027141781
2022-02-08,5.9530811032316215,1.0453072813272775e-05,0.0003328987950374112
2022-02-09,5.947122656668492,1.5809885024312622e-05,0.0002508009036641133
2022-02-10,5.975103804203467,-1.0709052218447348e-05,0.0004842608716409174
2022-02-11,6.052137094312857,-7.83853574490277e-05,0.0006137298867204603
2022-02-14,5.983778973012108,-1.8171612216432897e-05,0.0005710435220508932
2022-02-15,5.947226925790456,1.5689492159759736e-05,0.00032092067607057575
2022-02-16,5.951183904941907,1.2170476327214383e-05,0.0003342102695740968
2022-02-17,6.01097063194894,-4.248232178286962e-05,0.00032750471343167853
2022-02-18,5.984789851508582,-1.933985588373884e-05,0.00047369790073747823
2022-02-22,5.992895913903576,-2.5989337351053774e-05,0.0005818191018098356
2022-02-23,6.046071197829399,-7.319722123744508e-05,0.0005061017903084334
2022-02-24,5.862763915684653,8.992753601567608e-05,0.0008197305087429422
2022-02-25,5.908596293784058,4.9974109756511625e-05,0.0005175132432512912
2022-02-28,5.940245649632848,2.071892351708352e-05,0.0005909559841987277
2022-03-01,6.025567783578623,-5.502878165221523e-05,0.0005618007125588579
2022-03-02,5.9307133281114695,2.9272811061527476e-05,0.0004667014342670621
2022-03-03,6.022954440116916,-5.2901321980633494e-05,0.00047264230363765723
2022-03-04,5.979936233974433,-1.5046898976962805e-05,0.0005078167282874576
2022-03-07,6.038267685571821,-6.627838678398351e-05,0.000527734078367133
2022-03-08,6.025503914684915,-5.531547897692486e-05,0.0008160245223792902
2022-03-09,5.922506654466548,3.6560486933836875e-05,0.00047735448243820715
2022-03-10,5.95818951693178,4.876284984933456e-06,0.0004426302050263413
